id,name,publisher_id,country_id,year_began,year_ended,is_surrogate,notes,url
1475,Action Comics Pty. Ltd.,5702,14,1950,1960,0,Dating is unknown and is an estimate only. The publisher was active during the 1950s.,NULL
1476,Ardden Entertainment LLC.,4580,225,2008,NULL,0,NULL,NULL
1477,Melzer Verlag,6990,54,NULL,NULL,0,NULL,NULL
1478,Abi Melzer Productions,6990,54,NULL,NULL,0,NULL,NULL
1479,Amigo Comics Verlag,926,54,NULL,NULL,0,NULL,NULL
1480,Inter Verlag,7197,54,1975,1975,0,NULL,NULL
1481,Andreas Anger,7196,54,NULL,NULL,0,NULL,NULL
1482,Verlag Katrin Friedrich,6986,54,NULL,NULL,0,NULL,NULL
1483,Verlag K. Friedrich,6986,54,NULL,NULL,0,NULL,NULL
1484,CB Comic Team - Christian Zeiser,7198,54,NULL,NULL,0,NULL,NULL
1485,Chance Enterprises,2991,225,1982,1986,0,NULL,NULL
1486,Lawdog Comics,2528,225,NULL,NULL,0,NULL,http://www.lawdogcomics.net
1487,Boom Kids!,2547,225,2009,2011,0,Followed by kaboom!,NULL
1489,Comic Club Hannover,6986,54,NULL,NULL,0,NULL,NULL
1490,Blutshop,6913,54,NULL,NULL,0,NULL,NULL
1491,Kyle & Wheary,7054,225,1976,1976,0,NULL,NULL
1492,4Winds Publishing Group Inc.,596,225,1989,1990,0,PO Box 5208 Lancaster Pa. 17601.,NULL
1493,Hatchette Book Group Inc,4593,225,2006,NULL,0,NULL,http://www.hachettebookgroup.com
1494,Verlag Stellmann & Stephan,7204,54,NULL,NULL,0,NULL,NULL
1495,Abi Melzer Verlag GmbH,6990,54,NULL,NULL,0,NULL,NULL
1496,Blender Verlag,7204,54,NULL,NULL,0,NULL,NULL
1497,Swiss Comic Connection (SCC),7205,40,NULL,NULL,0,NULL,NULL
