story_id,artist_id
29152,2559
29309,2596
29311,575
29315,521
29425,1592
29640,1115
29754,1247
29821,2559
30068,1592
30296,260
30301,189
30376,2559
30609,1592
30664,2998
30786,260
30791,189
30836,1247
30844,1729
30875,2559
31068,2596
31069,2596
31070,521
31072,2266
31076,2543
31081,812
31084,575
31087,1931
31215,1592
31288,727
31594,1729
31646,2559
31652,1666
31747,676
31778,1931
31880,1592
31968,2125
32187,1729
32218,2559
32500,1592
32539,472
32780,260
32785,189
32878,1729
33110,1228
33122,1228
33124,1228
33202,2596
33203,2859
33308,1592
33555,189
33659,1729
33897,2859
34003,1592
34252,189
34344,1729
34508,2239
34515,2037
34518,1843
34521,1625
34608,1592
34892,1729
35080,2596
35083,2227
35085,1625
35086,1900
35088,1067
35089,1762
35199,1592
35222,1213
35270,2998
35627,1666
35733,1729
35863,1592
36007,2537
36066,1213
36165,2596
36167,2596
36168,1816
36172,2744
36174,2939
36181,1931
36182,2859
36183,1762
36459,2537
36506,1729
36555,1666
36556,1666
36560,1213
36867,1213
36914,765
36916,3055
37190,2559
37191,1213
37313,1762
37655,1729
37821,575
37823,2229
37825,574
37956,190
38004,215
38152,1729
38507,3055
38794,1729
38858,1213
38860,2559
39110,3055
39301,1729
39333,1213
39334,2559
39479,2772
39481,1799
39483,3120
39630,1470
39797,1729
39829,1213
39830,2559
39980,2987
39984,1068
39994,2510
40140,1229
40191,3207
40194,1928
40196,1816
40372,777
40612,1729
40638,2559
40639,1213
40794,1429
40796,2939
40798,1799
40803,3207
40805,449
40807,1512
40808,3162
40809,131
40810,2596
41106,1729
41143,1213
41251,2772
41253,1901
41255,3207
41257,1931
41566,1729
41594,1213
42173,1729
42202,1213
42227,131
42339,1799
42341,1614
42616,1213
43005,1213
43055,2142
43336,2998
43535,1213
43697,1799
43700,2939
43702,1429
43969,1729
44001,1213
44329,1729
44346,1213
44542,1827
44544,1232
44658,1213
44963,1729
44989,1213
45011,1950
45256,131
45368,1213
45569,579
45571,580
45572,2943
45580,2596
45584,2859
45814,1729
45852,1213
45896,2083
45897,702
45898,702
45899,702
46046,810
46047,277
46056,2190
46057,2010
46058,2010
46059,3021
46358,712
46787,1729
46801,1213
46860,1344
47212,1729
