id,name,year_began,year_ended,notes,url,publisher_id
2121,Faraos Cigarer,NULL,NULL,NULL,NULL,1318
2122,Faria Graphics,2008,NULL,This is Raul Faria's self-publishing imprint.,http://www.fariagraphics.com/,5880
2123,Fat Man Press,NULL,NULL,NULL,NULL,1220
2124,Father Tree Press,1988,NULL,NULL,NULL,401
2125,Fathom,NULL,NULL,NULL,NULL,771
2126,Fathom Press,1991,1991,NULL,NULL,771
2127,Fawcett,1965,1977,NULL,NULL,1974
2128,Fawcett,NULL,NULL,NULL,NULL,88
2129,Fawcett Crest,NULL,NULL,NULL,NULL,1868
2131,Fawcett Gold Medal,NULL,NULL,NULL,NULL,1868
2134,FC Comics,1987,1987,NULL,NULL,4224
2135,Federal Comics FC,NULL,NULL,NULL,NULL,4922
2136,Federal Comics [Murray the Cat],1983,1983,NULL,NULL,4922
2137,Federal Comics; DC Australian Edition,NULL,NULL,NULL,NULL,270
2138,Federal Comics; DC Australian Edition,NULL,NULL,NULL,NULL,4922
2139,Federal Comics; Marvel Australian Edition,NULL,NULL,NULL,NULL,270
2140,Feest Comics,1991,NULL,Ehapa kauft den Reiner Feest-Verlag,NULL,677
2145,Feest Verlag,NULL,NULL,NULL,NULL,813
2146,Felix Comics Inc.,NULL,NULL,NULL,NULL,6167
2147,Fenickx,NULL,NULL,"Company logo with ""Fenickx"" lettered underneath.",NULL,4741
2148,Ferrero,NULL,NULL,NULL,NULL,7539
2149,FF Fonna Forlag,NULL,NULL,NULL,NULL,1633
2150,FFA,NULL,NULL,NULL,NULL,1635
2151,FFA; Forlaget For Alle,NULL,NULL,NULL,NULL,1635
2152,ffff,1982,1982,NULL,NULL,3244
2153,FGP Fool's Gold Press,NULL,NULL,NULL,NULL,4538
2154,fh,NULL,NULL,NULL,NULL,7566
2155,FH A Ful-Horne Production,1975,1977,NULL,NULL,7464
2156,Fiasco Comics,NULL,NULL,NULL,NULL,3914
2159,Fiction House Magazines,1950,1952,NULL,NULL,7489
2160,Fiction House Magazines,1940,1954,Fiction House Magazines around the outer edge of a round logo usually with concentric circles down to a dot in the center but sometimes with the number of pages or other issue-specific text.  First appeared on issues cover-dated February 1940 and used until the end of the publisher.,NULL,70
2161,Fides,1944,1964,Medal style brand,NULL,3597
2162,Filadelfiaforlaget A/S,NULL,NULL,NULL,NULL,7533
2163,Finix Comics,2008,NULL,NULL,NULL,6893
2164,Finix Comics; Edition Solitaire,2009,NULL,NULL,NULL,6893
2165,Fireman Press Ltd,1994,NULL,NULL,http://www.scud.com/,1015
2166,First,1983,NULL,NULL,NULL,463
2171,Firstlight Comix,1994,1994,NULL,NULL,3205
2172,Fishwrap Presents,NULL,NULL,NULL,NULL,1965
2173,Fjölva Útgáfa,NULL,NULL,NULL,NULL,8819
2174,Flagship Comics,NULL,NULL,NULL,NULL,4818
2175,Flare,NULL,NULL,FLARE text with stylized flame in black.,NULL,1855
2176,Flashback Comics,NULL,NULL,NULL,NULL,3131
2177,Flashpoint Comics,NULL,NULL,NULL,NULL,3370
2178,Flashpoint Comics,NULL,NULL,NULL,NULL,6614
2179,Fleetway,NULL,NULL,NULL,NULL,608
2180,Fleetway Quality,1989,NULL,NULL,NULL,517
2181,Fleetway/Quality,NULL,NULL,NULL,NULL,517
2182,Flesk,2002,NULL,NULL,NULL,6945
2183,Fluide Glacial,1975,NULL,NULL,http://www.fluideglacial.tm.fr/pages/flu-con.htm,5161
2184,Fluide Glamour,NULL,NULL,NULL,NULL,5161
2185,Flying Buttress,1977,NULL,NULL,NULL,525
2186,Flying Eye Books,2013,NULL,NULL,NULL,7942
2187,Flying Fanny The,1968,1974,Get more laughs cartoons fun when you get the cartoon magazine with THE FLYING FANNY on the cover.    This brand ran only on the cartoon magazines.,NULL,78
2188,Flypaper Press,1998,1999,NULL,NULL,709
2189,Fogelcomix,1999,NULL,NULL,NULL,7691
2190,Folkeaksjonen Mot Hasj (FMH),NULL,NULL,NULL,NULL,1781
2191,Folkeforlaget A/S,NULL,NULL,NULL,NULL,3454
2192,Fonna Forlag,NULL,NULL,NULL,NULL,6456
